condition,environment,run,n_train,n_test,states,state_by_mean,test_observations,occupancy,miss_rate,mean_response_ns
interference,container,docker_cpu3-interf_io-run2,70000,30001,4,1,1149,0.038298723375887474,0.0,602008.8868581376
interference,container,docker_cpu3-interf_io-run2,70000,30001,4,2,58,0.0019332688910369655,0.0,636674.8103448276
interference,container,docker_cpu3-interf_io-run2,70000,30001,4,3,18,0.0005999800006666444,0.3333333333333333,3245799.500000001
interference,container,docker_cpu3-interf_io-run2,70000,30001,5,0,28480,0.9493016899436686,0.0,599601.8077598314
interference,container,docker_cpu3-interf_io-run2,70000,30001,5,1,1446,0.048198393386887105,0.0,601850.8520055325
interference,container,docker_cpu3-interf_io-run2,70000,30001,5,2,59,0.0019666011132962236,0.0,634683.6271186441
interference,container,docker_cpu3-interf_io-run2,70000,30001,5,3,8,0.0002666577780740642,0.25,1974957.6249999995
interference,container,docker_cpu3-interf_io-run2,70000,30001,5,4,8,0.0002666577780740642,0.5,5187862.750000002
interference,container,docker_cpu3-interf_io-run1,70000,30001,2,0,29879,0.9959334688843705,0.0,606799.16058101
interference,container,docker_cpu3-interf_io-run1,70000,30001,2,1,122,0.004066531115629479,0.01639344262295082,831398.6885245903
interference,container,docker_cpu3-interf_io-run1,70000,30001,3,0,29009,0.9669344355188161,0.0,606727.9466717226
interference,container,docker_cpu3-interf_io-run1,70000,30001,3,1,927,0.030898970034332188,0.0,609313.1564185545
interference,container,docker_cpu3-interf_io-run1,70000,30001,3,2,65,0.0021665944468517717,0.03076923076923077,1024283.9692307694
interference,container,docker_cpu3-interf_io-run1,70000,30001,4,0,28791,0.9596680110662978,0.0,606714.814247508
interference,container,docker_cpu3-interf_io-run1,70000,30001,4,1,1145,0.03816539448685044,0.0,609147.9170305677
interference,container,docker_cpu3-interf_io-run1,70000,30001,4,2,56,0.0018666044465184494,0.0,648238.625
interference,container,docker_cpu3-interf_io-run1,70000,30001,4,3,9,0.0002999900003333222,0.2222222222222222,3364534.8888888904
interference,container,docker_cpu3-interf_io-run1,70000,30001,5,0,28982,0.966034465517816,0.0,606726.1820785315
interference,container,docker_cpu3-interf_io-run1,70000,30001,5,1,954,0.03179894003533216,0.0,609293.5974842767
interference,container,docker_cpu3-interf_io-run1,70000,30001,5,2,55,0.0018332722242591915,0.0,648849.9272727272
interference,container,docker_cpu3-interf_io-run1,70000,30001,5,3,3,9.999666677777408e-05,0.6666666666666666,6543693.666666672
interference,container,docker_cpu3-interf_io-run1,70000,30001,5,4,7,0.00023332555581480617,0.0,1608661.5714285711
interference,host,host_cpu3-interf_io-run5,70000,30001,2,0,29656,0.988500383320556,0.0,606256.6161653629
interference,host,host_cpu3-interf_io-run5,70000,30001,2,1,345,0.011499616679444019,0.9391304347826087,142197974.44347826
interference,host,host_cpu3-interf_io-run5,70000,30001,3,0,29654,0.9884337188760375,0.0,606256.4074323869
interference,host,host_cpu3-interf_io-run5,70000,30001,3,1,258,0.00859971334288857,0.9108527131782945,64932890.62403099
interference,host,host_cpu3-interf_io-run5,70000,30001,3,2,89,0.002966567781073964,1.0,362998136.01123595
interference,host,host_cpu3-interf_io-run5,70000,30001,4,0,29639,0.9879337355421486,0.0,606254.0783089848
interference,host,host_cpu3-interf_io-run5,70000,30001,4,1,29,0.0009666344455184827,0.0,621850.2413793104
interference,host,host_cpu3-interf_io-run5,70000,30001,4,2,248,0.00826639112029599,0.9637096774193549,70360211.12903225
interference,host,host_cpu3-interf_io-run5,70000,30001,4,3,85,0.0028332388920369322,1.0,371780197.0352941
interference,host,host_cpu3-interf_io-run5,70000,30001,5,0,24413,0.8137395420152661,0.0,606065.6627206816
interference,host,host_cpu3-interf_io-run5,70000,30001,5,1,5242,0.17472750908303056,0.0,607144.7268218237
interference,host,host_cpu3-interf_io-run5,70000,30001,5,2,81,0.0026999100029999,0.7283950617283951,11902579.777777778
