condition,environment,run,sensitivity,order_gmm,order_hmm,train_bic_gmm,train_bic_hmm,test_loglik_per_obs_gmm,test_loglik_per_obs_hmm,temporal_gain_per_obs_gmm,temporal_gain_per_obs_hmm,n_train_gmm,n_train_hmm,n_test_gmm,n_test_hmm,kept_fraction_gmm,kept_fraction_hmm,run_number,hmm_minus_gmm_test_loglik_per_obs,hmm_wins
interference,host,host_cpu3-interf_io-run2,cap_1000us,5.0,4.0,68730.10860088679,56923.913446541184,-0.4349325934881615,-0.4162960024424959,0.0,0.03997239035812839,69882.0,69882.0,29996.0,29996.0,0.998770012299877,0.998770012299877,2,0.018636591045665563,True
interference,host,host_cpu3-interf_io-run2,cap_1500us,4.0,5.0,-88.2964272943604,-12283.295481344501,0.055842866416133466,0.0789767860462128,0.0,0.03957490418980596,69886.0,69886.0,29998.0,29998.0,0.998830011699883,0.998830011699883,2,0.02313391963007934,True
interference,host,host_cpu3-interf_io-run2,cap_2000us,4.0,5.0,-88.2964272943604,-12283.295481344501,0.055842866416133466,0.0789767860462128,0.0,0.03972010296620272,69886.0,69886.0,29998.0,29998.0,0.998830011699883,0.998830011699883,2,0.02313391963007934,True
interference,host,host_cpu3-interf_io-run2,cap_2500us,4.0,5.0,-88.2964272943604,-12283.295481344501,0.054410478681978805,0.07767195681840422,0.0,0.03942909573988267,69886.0,69886.0,30000.0,30000.0,0.998850011499885,0.998850011499885,2,0.023261478136425415,True
interference,host,host_cpu3-interf_io-run2,train_q_0.999,5.0,5.0,173211.47580647597,158026.8107101621,-1.1889825017642912,-1.1588417230921908,0.0,0.05133161176368306,69816.0,69816.0,29971.0,29971.0,0.997860021399786,0.997860021399786,2,0.03014077867210041,True
interference,host,host_cpu3-interf_io-run2,train_q_0.9995,5.0,5.0,137180.6116211065,122050.9161988709,-0.9272422201626526,-0.8994089227143826,0.0,0.050352376784976186,69851.0,69851.0,29983.0,29983.0,0.998330016699833,0.998330016699833,2,0.02783329744827001,True
interference,host,host_cpu3-interf_io-run2,train_q_0.9999,5.0,5.0,87641.13493474475,74148.8058958204,-0.5732152041765142,-0.6315702831099458,0.0,-0.03769379773119139,69879.0,69879.0,29995.0,29995.0,0.998730012699873,0.998730012699873,2,-0.058355078933431614,False
interference,host,host_cpu3-interf_io-run3,base_stable,5.0,5.0,-159040.0513427588,-159278.63307628492,1.1133671736129467,1.1167970069137567,0.0,0.00523524839854796,69737.0,69737.0,29922.0,29922.0,0.996580034199658,0.996580034199658,3,0.003429833300810037,True
interference,host,host_cpu3-interf_io-run3,cap_1000us,5.0,5.0,67332.34407803466,66503.1354478055,-0.5121934840752072,-0.5045286015728662,0.0,0.01325224313001976,69727.0,69727.0,29921.0,29921.0,0.996470035299647,0.996470035299647,3,0.007664882502340986,True
interference,host,host_cpu3-interf_io-run3,cap_1500us,5.0,4.0,-10914.621564903282,-11056.035511143542,0.050883190107401485,0.05241910423795879,0.0,0.005429316142633026,69730.0,69730.0,29921.0,29921.0,0.99650003499965,0.99650003499965,3,0.0015359141305573074,True
