condition,environment,run,n,period_ns,deadline_ns,baseline_response_ns,expected_recovery_slope_ns_per_activation,delta_mad_ns,shock_threshold_ns,shock_job_index,shock_release_ns,response_before_ns,response_after_ns,shock_amplitude_ns,is_deadline_miss_after_shock
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,38179,79282068074299,603104.0,177980670.0,177377566.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,39239,79287368074299,603158.0,36279555.0,35676397.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,40301,79292678074299,602942.0,598720253.0,598117311.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,41278,79297563074299,603034.0,130467567.0,129864533.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,46662,79324483074299,603238.0,208350260.0,207747022.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,47266,79327503074299,603106.0,156874239.0,156271133.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,48250,79332423074299,603233.0,30038540.0,29435307.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,49995,79341148074299,603170.0,107059472.0,106456302.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,50146,79341903074299,603096.0,304344885.0,303741789.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,51279,79347568074299,603114.0,75115459.0,74512345.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,52341,79352878074299,603076.0,220578294.0,219975218.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,53400,79358173074299,603089.0,1107187921.0,1106584832.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,56491,79373628074299,603077.0,1477240972.0,1476637895.0,True
